Neighborhood,BusinessLoss,StaffCancellation,Venuesper1K,OLS_PCT,Variety,neg,neu,pos
Astoria/LIC,3.0903706923484426,1.0,5.132095423642122,0.021480824797399968,63.64,0.071,0.7090000000000001,0.22
Bed-Stuy,2.8210024183181517,1.0,3.6614392383438585,0.051981438494354715,62.5,0.045,0.7040000000000001,0.251
Bed-Stuy/Bushwick,2.988671701466015,1.0,2.2061023033203715,0.05759254807560747,57.78,0.059000000000000004,0.6809999999999999,0.26
Williamsburg/Bushwick/Bed-Stuy,1.9153225806451613,1.0,2.632366138199222,0.052531704497853236,60.715,0.051,0.684,0.265
Bushwick,2.783997963145667,1.0,2.60338299822942,0.05036378795015525,50.0,0.047,0.684,0.27
Chelsea,3.241866742424651,1.0,17.25466778688923,0.031874301817934304,69.16499999999999,0.040999999999999995,0.713,0.24600000000000002
Elmhurst,2.1,1.0,1.6897081413210444,0.020623643805542196,62.5,0.076,0.737,0.187
Flushing,2.0,1.0,2.55755903884921,0.025750571585544814,25.0,0.046,0.693,0.261
Greenpoint,1.5595341098169717,1.0,6.30593418697508,0.05976687591143085,59.03,0.048,0.701,0.251
Harlem,1.7530043699927167,1.0,2.4745549842387016,0.044174504448291414,56.25,0.042,0.7070000000000001,0.25
Inwood,2.619956379498364,1.0,2.4070240203536954,0.03558484104390719,63.095,0.053,0.684,0.264
Jackson Heights,2.3047375160051216,1.0,3.8867879224443245,0.037430367924150366,61.905,0.054000000000000006,0.711,0.235
LIC,1.6451612903225807,0.5,3.0121490009705814,0.021911215181082147,58.335,0.046,0.7340000000000001,0.22
LES,1.8205965920721872,1.0,7.170530717668039,0.03522385454062537,47.620000000000005,0.053,0.696,0.251
Ridgewood,2.8744065602071642,1.0,2.874964443902637,0.02670179598402394,54.765,0.052000000000000005,0.688,0.26
South Bronx,0.625,0.0,2.6542508340360014,0.028690705108955394,50.0,0.049,0.7240000000000001,0.22699999999999998
Williamsburg,3.0496914794375822,1.0,6.1785050704036175,0.05198361747563208,72.275,0.049,0.6859999999999999,0.265
