Neighborhood,CULTURE,POPULATION
Astoria/LIC,893.0,174003.0
Bed-Stuy,763.0,208388.0
Bed-Stuy/Bushwick,177.00000000000003,80232.0
Williamsburg/Bushwick/Bed-Stuy,220.0,83575.0
Bushwick,372.0,142891.0
Chelsea,2485.0,144019.0
Elmhurst,231.0,136710.0
Flushing,457.99999999999994,179077.0
Greenpoint,229.0,36315.0
Harlem,398.0,160837.0
Inwood,193.00000000000003,80182.0
Jackson Heights,259.0,66636.0
LIC,90.0,29879.0
LES,583.0,81305.0
Ridgewood,283.0,98436.0
South Bronx,362.0,136385.0
Williamsburg,552.0,89342.0
