Neighborho,Arts & Culture,Body,Drinks,Entertainment,Essentials,Fashion,Fitness,Food,Groups,Home & Hobby,Lodging,Misc,Parks & Rec,Services,NumCategories,VarietyCount,VarietyPerc
Astoria/LIC,2.35,0.11,15.79,1.9,4.26,0.0,0.11,69.09,1.79,0.22,4.26,0.0,0.0,0.11,11,7,63.64
Bed-Stuy,3.54,0.13,12.71,0.79,11.8,0.13,0.0,66.06,3.54,0.13,1.18,0.0,0.0,0.0,10,5,50.0
Bed-Stuy/Bushwick,5.08,0.0,9.6,1.13,13.56,0.56,0.56,64.97,2.82,0.0,1.69,0.0,0.0,0.0,9,5,55.56
Bushwick,2.42,0.0,11.29,1.08,5.65,0.0,0.0,75.81,2.15,0.27,0.81,0.54,0.0,0.0,9,3,33.33
Chelsea,8.45,0.04,16.42,6.4,1.37,0.12,0.0,56.46,3.18,0.16,7.28,0.08,0.04,0.0,12,7,58.33
Elmhurst,0.0,0.0,8.23,1.73,8.66,0.0,0.0,77.06,2.6,0.0,1.73,0.0,0.0,0.0,6,3,50.0
Flushing,1.31,0.0,6.99,3.06,1.31,0.0,0.0,83.84,0.44,0.22,2.84,0.0,0.0,0.0,8,2,25.0
Greenpoint,4.37,0.44,18.78,3.93,6.11,0.0,0.0,58.52,6.55,0.44,0.87,0.0,0.0,0.0,9,5,55.56
Harlem,3.52,0.0,7.54,3.77,17.84,0.0,0.0,63.82,2.26,0.0,1.01,0.25,0.0,0.0,8,4,50.0
Inwood,1.55,0.0,7.25,1.55,13.99,0.0,0.0,74.61,0.52,0.0,0.0,0.52,0.0,0.0,7,3,42.86
Jackson Heights,0.0,0.0,15.06,0.77,6.95,0.0,0.0,76.06,0.77,0.39,0.0,0.0,0.0,0.0,6,4,66.67
LES,18.7,0.0,18.18,3.43,3.26,0.0,0.0,49.74,2.06,0.51,3.95,0.17,0.0,0.0,9,6,66.67
LIC,0.0,0.0,17.78,0.0,2.22,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,66.67
Ridgewood,2.83,0.0,11.31,2.12,7.77,0.0,0.0,74.56,1.06,0.0,0.0,0.0,0.35,0.0,7,3,42.86
South Bronx,1.93,0.0,3.87,0.55,29.56,0.0,0.0,61.33,1.38,0.28,0.83,0.0,0.0,0.28,9,3,33.33
Williamsburg,3.8,0.0,24.64,4.35,4.35,0.36,0.18,56.34,3.44,0.18,1.99,0.36,0.0,0.0,11,6,54.55
Williamsburg/Bushwick/Bed-Stuy,7.73,0.0,11.82,1.82,11.36,0.91,0.0,59.09,5.0,0.0,2.27,0.0,0.0,0.0,8,4,50.0
